Time,X,Y,A,B,D,E
0,3,3,0.5,3,0,0
0.5,3.56,0.8,,,,
1,1.84,1.24,,,,
1.5,0.89,1.82,,,,
2,0.36,2.27,,,,
2.5,0.19,2.54,,,,
3,0.15,2.98,,,,
3.5,0.14,2.95,,,,
4,0.15,3.19,,,,
4.5,0.15,3.39,,,,
5,0.14,3.61,,,,
5.5,0.14,3.68,,,,
6,0.14,3.81,,,,
6.5,0.14,4.05,,,,
7,0.14,4.11,,,,
7.5,0.15,4.67,,,,
8,0.15,4.51,,,,
8.5,0.15,4.9,,,,
9,0.15,5.16,,,,
9.5,0.16,4.99,,,,
10,0.16,5.37,,,,
10.5,0.15,5.61,,,,
11,0.16,5.76,,,,
11.5,0.17,5.73,,,,
12,0.16,6.08,,,,
12.5,0.17,6.14,,,,
13,0.16,6.6,,,,
13.5,0.18,6.42,,,,
14,0.17,6.85,,,,
14.5,0.18,6.62,,,,
15,0.19,6.63,,,,
15.5,0.18,7.05,,,,
16,0.18,7.22,,,,
16.5,0.18,7.55,,,,
17,0.19,7.22,,,,
17.5,0.21,7.5,,,,
18,0.21,7.56,,,,
18.5,0.22,7.71,,,,
19,0.22,8.38,,,,
19.5,0.22,8.56,,,,
20,0.23,8.16,,,,
20.5,0.25,8.63,,,,
21,0.26,8.25,,,,
21.5,0.29,8.5,,,,
22,0.38,8.94,,,,
22.5,0.62,8.73,,,,
23,7.4,0.42,,,,
23.5,4.23,0.62,,,,
24,2.45,1.02,,,,
24.5,1.33,1.57,,,,
25,0.53,2.18,,,,
25.5,0.23,2.66,,,,
26,0.16,2.78,,,,
26.5,0.14,2.95,,,,
27,0.14,3.15,,,,
27.5,0.14,3.41,,,,
28,0.15,3.54,,,,
28.5,0.14,3.83,,,,
29,0.15,3.82,,,,
29.5,0.14,4.06,,,,
30,0.14,4.29,,,,
30.5,0.15,4.58,,,,
31,0.15,4.58,,,,
31.5,0.16,4.74,,,,
32,0.16,5,,,,
32.5,0.16,4.91,,,,
33,0.15,5.27,,,,
33.5,0.15,5.65,,,,
34,0.15,5.42,,,,
34.5,0.16,5.71,,,,
35,0.17,6.02,,,,
35.5,0.16,6.07,,,,
36,0.16,6.29,,,,
36.5,0.17,6.71,,,,
37,0.18,6.61,,,,
37.5,0.18,6.5,,,,
38,0.17,7.16,,,,
38.5,0.17,7.15,,,,
39,0.18,6.91,,,,
39.5,0.18,7.21,,,,
40,0.2,7.21,,,,
40.5,0.2,7.32,,,,
41,0.21,7.89,,,,
41.5,0.22,8.15,,,,
42,0.22,7.98,,,,
42.5,0.21,8.27,,,,
43,0.22,8.23,,,,
43.5,0.23,8.32,,,,
44,0.27,8.51,,,,
44.5,0.28,9.02,,,,
45,0.34,9,,,,
45.5,0.42,8.44,,,,
46,2.14,6.64,,,,
46.5,5.76,0.51,,,,
47,3.23,0.8,,,,
47.5,1.82,1.25,,,,
48,0.81,1.99,,,,
48.5,0.32,2.47,,,,
49,0.18,2.57,,,,
49.5,0.15,2.84,,,,
50,0.14,3.14,,,,
50.5,0.15,3.25,,,,
51,0.14,3.25,,,,
51.5,0.15,3.44,,,,
52,0.14,3.64,,,,
52.5,0.15,3.92,,,,
53,0.15,3.94,,,,
53.5,0.15,4.39,,,,
54,0.15,4.5,,,,
54.5,0.16,4.65,,,,
55,0.15,4.75,,,,
55.5,0.15,5.15,,,,
56,0.15,5.27,,,,
56.5,0.16,5.53,,,,
57,0.16,5.36,,,,
57.5,0.16,5.57,,,,
58,0.15,5.67,,,,
58.5,0.17,5.8,,,,
59,0.16,6.31,,,,
59.5,0.16,6.43,,,,
60,0.18,6.32,,,,
60.5,0.17,6.91,,,,
61,0.17,6.99,,,,
61.5,0.18,6.98,,,,
62,0.18,7.11,,,,
62.5,0.18,7.62,,,,
63,0.2,7.51,,,,
63.5,0.2,7.31,,,,
64,0.2,7.67,,,,
64.5,0.19,7.58,,,,
65,0.21,7.82,,,,
65.5,0.22,8.3,,,,
